Day	Month	Year	Volume(hm3)
4	10	1978	510.52
5	10	1978	509.62
6	10	1978	507.21
7	10	1978	507.81
8	10	1978	548.45
9	10	1978	506.91
10	10	1978	505.70
11	10	1978	505.10
12	10	1978	502.99
13	10	1978	502.99
14	10	1978	502.39
15	10	1978	501.78
16	10	1978	501.48
17	10	1978	542.27
18	10	1978	499.67
19	10	1978	498.47
20	10	1978	498.17
21	10	1978	496.96
22	10	1978	496.35
23	10	1978	496.05
24	10	1978	494.55
25	10	1978	493.34
26	10	1978	492.44
27	10	1978	487.31
28	10	1978	483.41
29	10	1978	471.78
30	10	1978	460.22
31	10	1978	455.67
1	11	1978	454.01
2	11	1978	453.18
3	11	1978	451.79
4	11	1978	446.53
5	11	1978	443.76
6	11	1978	436.84
7	11	1978	433.24
8	11	1978	432.13
9	11	1978	431.02
10	11	1978	429.91
11	11	1978	429.63
12	11	1978	428.80
13	11	1978	428.80
14	11	1978	427.46
15	11	1978	426.67
16	11	1978	425.88
17	11	1978	425.62
18	11	1978	424.83
19	11	1978	425.36
20	11	1978	426.14
21	11	1978	426.93
22	11	1978	413.78
23	11	1978	402.48
24	11	1978	390.22
25	11	1978	383.84
26	11	1978	382.57
27	11	1978	382.83
28	11	1978	380.78
29	11	1978	375.95
30	11	1978	368.49
1	12	1978	361.52
2	12	1978	352.81
3	12	1978	340.71
4	12	1978	331.79
5	12	1978	326.39
6	12	1978	321.08
7	12	1978	318.10
8	12	1978	307.90
9	12	1978	317.68
10	12	1978	320.23
11	12	1978	318.32
12	12	1978	326.81
13	12	1978	343.13
14	12	1978	352.57
15	12	1978	359.78
16	12	1978	368.74
17	12	1978	389.20
18	12	1978	401.95
19	12	1978	402.48
20	12	1978	398.38
21	12	1978	395.83
22	12	1978	389.20
23	12	1978	382.83
24	12	1978	380.53
25	12	1978	401.44
26	12	1978	418.26
27	12	1978	421.94
28	12	1978	437.67
29	12	1978	468.19
30	12	1978	560.52
31	12	1978	613.45
1	1	1979	609.20
2	1	1979	603.95
3	1	1979	623.07
4	1	1979	630.38
5	1	1979	607.10
6	1	1979	619.78
7	1	1979	634.77
8	1	1979	639.52
9	1	1979	640.25
10	1	1979	638.06
11	1	1979	641.35
12	1	1979	640.62
13	1	1979	638.79
14	1	1979	634.77
15	1	1979	628.92
16	1	1979	633.31
17	1	1979	634.04
18	1	1979	632.94
19	1	1979	630.01
20	1	1979	626.72
21	1	1979	628.55
22	1	1979	622.34
23	1	1979	617.95
24	1	1979	612.35
25	1	1979	605.70
26	1	1979	599.05
27	1	1979	601.85
28	1	1979	621.60
29	1	1979	635.13
30	1	1979	643.91
31	1	1979	651.22
1	2	1979	651.95
2	2	1979	644.27
3	2	1979	648.29
4	2	1979	630.38
5	2	1979	624.53
6	2	1979	619.05
7	2	1979	602.20
8	2	1979	597.30
9	2	1979	611.65
10	2	1979	601.15
11	2	1979	579.84
12	2	1979	584.70
13	2	1979	582.95
14	2	1979	579.16
15	2	1979	582.60
16	2	1979	585.75
17	2	1979	577.77
18	2	1979	601.85
19	2	1979	622.34
20	2	1979	638.79
21	2	1979	649.76
22	2	1979	648.66
23	2	1979	645.74
24	2	1979	651.58
25	2	1979	650.49
26	2	1979	649.03
27	2	1979	649.03
28	2	1979	647.93
1	3	1979	647.93
2	3	1979	651.95
3	3	1979	651.95
