Year Forest,Pastures,Grass Cropland Urban
1946 82.3 16.1 0.4
1947 83.0 15.5 0.4
1948 83.9 14.6 0.4
1949 84.8 13.7 0.4
1950 85.9 12.6 0.4
1951 87.1 11.5 0.4
1952 88.2 10.4 0.4
1953 89.0 9.7 0.4
1954 89.8 9.0 0.4
1955 90.4 8.5 0.4
1956 91.1 7.9 0.4
1957 91.9 7.2 0.4
1958 92.9 6.2 0.4
1959 94.0 5.2 0.3
1960 94.7 4.5 0.3
1961 95.0 4.3 0.3
1962 95.2 4.1 0.3
1963 95.2 4.1 0.3
1964 95.2 4.1 0.3
1965 95.1 4.2 0.3
1966 95.3 4.0 0.3
1967 95.4 3.9 0.3
1968 95.3 4.0 0.3
1969 95.3 4.0 0.3
1970 95.5 3.8 0.3
1971 95.7 3.6 0.3
1972 95.9 3.3 0.4
1973 96.0 3.3 0.4
1974 96.0 3.3 0.4
1975 96.1 3.1 0.4
1976 96.1 3.1 0.4
1977 95.9 3.3 0.4
1978 96.1 3.2 0.4
1979 96.2 3.0 0.4
1980 96.1 3.1 0.5
1981 96.0 3.1 0.5
1982 95.8 3.3 0.5
1983 95.4 3.6 0.6
1984 95.0 4.0 0.7
1985 94.4 4.4 0.7
1986 93.6 5.2 0.8
1987 93.1 5.6 0.9
1988 92.6 6.0 0.9
1989 91.7 6.8 1.0
1990 91.2 7.2 1.1
1991 91.0 7.3 1.2
1992 91.2 7.2 1.2
1993 91.7 6.6 1.3
1994 92.6 5.8 1.3
1995 93.2 5.2 1.3
1996 93.8 4.6 1.3
1997 94.2 4.3 1.3
1998 93.9 4.4 1.4
1999 93.9 4.4 1.4
2000 94.0 4.3 1.5
2001 93.9 4.4 1.5
2002 93.7 4.5 1.6
2003 93.7 4.6 1.6
2004 93.7 4.5 1.7
2005 93.8 4.4 1.7
2006 94.2 3.9 1.7
2007 94.4 3.6 1.8
2008 94.6 3.4 1.8
2009 94.6 3.4 1.8
2010 94.3 3.6 1.9
2011 93.9 4.0 2.0
2012 93.5 4.3 2.0
2013 93.3 4.6 2.0
2014 92.8 5.0 2.0
2015 92.2 5.6 2.1
2016 91.5 6.2 2.1
2017 91.1 6.8 2.1
