Time InflowMean(m3s-1) Inflow25percentile(m3s-1) Inflow75percentile(m3s-1) OutflowMean(m3s-1) Outflow25percentile(m3s-1) Outflow75percentile(m3s-1)
1 40.1 18.9 53.9 26.9 2.9 42.8
2 43.4 20.7 57.5 28.6 2.3 43.9
3 40.3 22.9 50.8 26.0 1.9 41.8
4 37.1 22.0 47.4 25.2 2.1 40.3
5 28.7 14.0 39.8 21.5 6.2 33.6
6 16.8 6.8 23.4 25.6 10.4 39.0
7 9.8 2.7 16.1 28.7 10.5 42.8
8 6.2 0.3 12.1 21.8 7.9 36.0
9 4.8 0.0 9.3 20.1 6.1 34.0
10 10.5 2.0 15.6 25.2 9.5 38.4
11 24.3 8.2 34.1 21.8 4.9 35.9
12 35.3 14.2 47.5 25.0 4.1 39.5
