Time InflowMean(m3s-1) Inflow25percentile(m3s-1) Inflow75percentile(m3s-1) OutflowMean(m3s-1) Outflow25percentile(m3s-1) Outflow75percentile(m3s-1)
1 189.4 70.8 229.1 159.7 64.4 198.9
2 195.1 74.2 239.0 173.8 58.3 208.6
3 142.4 65.1 174.0 139.9 57.4 194.0
4 112.1 52.5 135.2 98.4 38.2 134.4
5 74.0 36.1 92.2 69.9 31.0 90.6
6 41.0 18.1 53.8 50.6 25.8 69.0
7 17.6 6.5 24.2 43.4 20.7 60.1
8 9.2 2.8 13.7 40.0 18.5 56.2
9 10.7 2.1 15.2 45.0 22.2 64.4
10 33.6 7.2 37.0 46.2 19.7 61.7
11 88.2 26.1 112.1 74.7 29.6 108.1
12 151.0 47.4 186.4 119.8 43.4 164.1
