Time InflowMean(m3s-1) Inflow25percentile(m3s-1) Inflow75percentile(m3s-1) OutflowMean(m3s-1) Outflow25percentile(m3s-1) Outflow75percentile(m3s-1)
1 172.0 67.5 211.7 171.8 66.4 212.5
2 177.9 60.5 213.2 177.2 58.8 216.0
3 148.7 60.3 196.7 147.8 59.7 195.3
4 107.5 42.2 140.4 106.2 39.5 138.0
5 71.9 34.2 94.3 71.8 34.8 94.2
6 51.0 26.0 68.2 51.5 27.0 67.5
7 41.4 18.3 59.2 42.3 20.9 58.5
8 37.4 14.4 54.5 38.6 18.6 54.0
9 42.7 18.1 63.1 43.3 22.7 61.9
10 47.5 18.7 63.1 49.4 23.0 63.0
11 82.9 28.4 116.6 82.5 28.7 115.0
12 140.8 45.5 177.9 139.0 44.9 174.2
