Time InflowMean(m3s-1) Inflow25percentile(m3s-1) Inflow75percentile(m3s-1) OutflowMean(m3s-1) Outflow25percentile(m3s-1) Outflow75percentile(m3s-1)
1 290.3 112.6 365.3 287.4 116.3 354.0
2 302.2 127.3 336.9 303.6 142.1 335.0
3 251.6 110.2 293.8 252.6 113.5 292.0
4 198.9 100.5 248.2 199.0 99.0 243.3
5 138.6 76.3 180.5 136.3 70.2 184.0
6 101.2 58.9 133.6 102.1 58.6 139.5
7 76.9 42.9 103.0 77.6 41.9 105.6
8 54.3 24.3 76.0 58.8 29.0 84.6
9 58.5 30.7 81.3 59.7 19.6 91.0
10 94.3 50.6 116.7 92.1 44.5 118.0
11 159.9 70.2 202.4 160.2 71.0 211.1
12 246.0 97.3 286.3 244.2 94.7 292.0
