Year MaxAnnualVolume(hm3)
1961 203.3
1962 339.5
1963 340.0
1964 338.2
1965 304.2
1966 339.5
1967 336.2
1968 335.9
1969 341.5
1970 329.3
1971 341.0
1972 337.5
1973 340.6
1974 341.5
1975 329.4
1976 319.9
1977 340.4
1978 341.7
1979 341.5
1980 341.5
1981 340.6
1982 331.1
1983 341.5
1984 340.8
1985 340.9
1986 340.6
1987 341.2
1988 323.0
1989 282.0
1990 293.6
1991 313.0
1992 314.0
1993 316.3
1994 234.9
1995 296.4
1996 304.6
1997 273.3
1998 312.6
1999 311.9
2000 310.9
2001 318.3
2002 243.3
2003 301.9
2004 279.5
2005 296.6
2006 300.9
2007 304.8
2008 310.9
2009 287.2
2010 313.3
2011 289.6
2012 243.8
2013 316.9
2014 312.8
2015 316.1
2016 325.6
2017 256.5
2018 329.9
2019 308.7
2020 306.6
2021 312.8
2022 240.3
2023 284.2
