Year MaxAnnualVolume(hm3)
1963 564.9
1964 654.6
1965 580.6
1966 654.8
1967 651.0
1968 654.5
1969 654.5
1970 654.5
1971 654.5
1972 654.5
1973 643.9
1974 648.7
1975 601.9
1976 638.8
1977 654.1
1978 654.5
1979 654.1
1980 650.9
1981 642.4
1982 651.2
1983 653.3
1984 607.6
1985 650.7
1986 648.0
1987 565.6
1988 649.5
1989 607.2
1990 529.1
1991 583.0
1992 542.3
1993 637.8
1994 648.0
1995 618.1
1996 635.5
1997 615.2
1998 649.9
1999 608.0
2000 628.5
2001 631.8
2002 586.2
2003 626.6
2004 598.6
2005 593.2
2006 619.1
2007 609.2
2008 609.8
2009 608.9
2010 611.1
2011 609.2
2012 426.7
2013 612.5
2014 610.3
2015 569.1
2016 614.0
2017 460.8
2018 617.4
2019 609.4
2020 590.9
2021 610.3
2022 555.6
2023 614.5
