Year MaxAnnualVolume(hm3)
1958 180.8
1959 180.8
1960 180.8
1961 180.8
1962 180.8
1963 180.8
1964 180.8
1965 178.1
1966 182.0
1967 181.9
1968 181.9
1969 182.0
1970 181.9
1971 181.9
1972 181.9
1973 181.3
1974 181.6
1975 180.4
1976 181.7
1977 181.9
1978 181.1
1979 181.7
1980 180.3
1981 180.3
1982 181.3
1983 180.9
1984 180.3
1985 180.5
1986 180.7
1987 180.9
1988 179.8
1989 181.3
1990 180.4
1991 180.5
1992 180.1
1993 181.0
1994 181.4
1995 180.7
1996 181.3
1997 180.9
1998 181.1
1999 180.2
2000 180.9
2001 181.1
2002 178.2
2003 180.8
2004 180.4
2005 180.0
2006 180.8
2007 179.7
2008 180.3
2009 180.0
2010 180.0
2011 180.1
2012 178.0
2013 179.6
2014 179.8
2015 179.7
2016 179.6
2017 180.1
2018 180.1
2019 180.5
2020 180.5
2021 180.6
2022 178.8
2023 180.5
