Year MaxAnnualVolume(hm3)
1958 212.5
1959 213.2
1960 212.0
1961 213.0
1962 213.0
1963 213.1
1964 213.1
1965 212.8
1966 212.9
1967 212.9
1968 212.8
1969 212.6
1970 213.2
1971 212.9
1972 211.5
1973 212.9
1974 212.5
1975 212.5
1976 212.3
1977 212.5
1978 212.2
1979 212.5
1980 210.9
1981 212.5
1982 212.9
1983 213.1
1984 212.8
1985 213.2
1986 212.3
1987 212.3
1988 213.1
1989 213.0
1990 213.4
1991 211.2
1992 210.7
1993 211.2
1994 211.9
1995 212.1
1996 213.0
1997 212.5
1998 213.1
1999 212.5
2000 211.5
2001 213.3
2002 211.0
2003 212.5
2004 208.7
2005 206.5
2006 212.6
2007 211.9
2008 208.7
2009 210.4
2010 211.6
2011 210.0
2012 211.9
2013 209.0
2014 206.1
2015 206.5
2016 209.1
2017 200.6
2018 206.4
2019 199.4
2020 208.6
2021 205.5
2022 194.4
2023 212.0
