Day	Month	Year	Volume(hm3)
1	11	2000	132.18
2	11	2000	134.02
3	11	2000	134.08
4	11	2000	133.28
5	11	2000	138.15
6	11	2000	144.65
7	11	2000	149.89
8	11	2000	154.45
9	11	2000	158.01
10	11	2000	160.69
11	11	2000	163.51
12	11	2000	167.14
13	11	2000	172.10
14	11	2000	175.95
15	11	2000	176.75
16	11	2000	176.53
17	11	2000	176.02
18	11	2000	175.30
19	11	2000	174.79
20	11	2000	173.04
21	11	2000	173.11
22	11	2000	178.63
23	11	2000	182.96
24	11	2000	186.00
25	11	2000	189.04
26	11	2000	196.20
27	11	2000	204.88
28	11	2000	207.70
29	11	2000	209.14
30	11	2000	209.07
1	12	2000	213.02
2	12	2000	215.16
3	12	2000	216.19
4	12	2000	217.38
5	12	2000	220.94
6	12	2000	227.44
7	12	2000	244.40
8	12	2000	258.44
9	12	2000	266.02
10	12	2000	273.60
11	12	2000	277.52
12	12	2000	277.87
13	12	2000	276.65
14	12	2000	276.13
15	12	2000	274.39
16	12	2000	272.21
17	12	2000	268.98
18	12	2000	266.46
19	12	2000	263.40
20	12	2000	260.01
21	12	2000	256.17
22	12	2000	252.77
23	12	2000	248.76
24	12	2000	244.48
25	12	2000	239.89
26	12	2000	235.84
27	12	2000	231.96
28	12	2000	228.71
29	12	2000	226.17
30	12	2000	225.62
31	12	2000	223.16
1	1	2001	226.10
2	1	2001	228.47
3	1	2001	229.19
4	1	2001	232.28
5	1	2001	251.38
6	1	2001	263.49
7	1	2001	268.02
8	1	2001	269.94
9	1	2001	270.03
10	1	2001	269.51
11	1	2001	268.63
12	1	2001	266.02
13	1	2001	262.71
14	1	2001	258.96
15	1	2001	254.52
16	1	2001	249.63
17	1	2001	245.28
18	1	2001	240.60
19	1	2001	235.69
20	1	2001	230.61
21	1	2001	225.22
22	1	2001	219.83
23	1	2001	214.60
24	1	2001	213.41
25	1	2001	212.46
26	1	2001	213.34
27	1	2001	217.54
28	1	2001	221.50
29	1	2001	223.40
30	1	2001	222.85
31	1	2001	221.74
1	2	2001	222.85
2	2	2001	223.32
3	2	2001	222.29
4	2	2001	220.23
5	2	2001	217.77
6	2	2001	226.10
7	2	2001	232.67
8	2	2001	237.59
9	2	2001	239.09
10	2	2001	241.15
11	2	2001	242.34
12	2	2001	242.58
13	2	2001	242.42
14	2	2001	240.52
15	2	2001	237.51
16	2	2001	236.48
17	2	2001	238.38
18	2	2001	240.04
19	2	2001	241.07
20	2	2001	242.34
21	2	2001	243.21
22	2	2001	244.25
23	2	2001	245.20
24	2	2001	245.99
25	2	2001	246.54
26	2	2001	247.10
27	2	2001	247.57
28	2	2001	248.05
1	3	2001	248.84
2	3	2001	250.85
3	3	2001	252.77
4	3	2001	257.74
5	3	2001	262.27
6	3	2001	273.51
7	3	2001	287.63
8	3	2001	297.78
9	3	2001	302.89
10	3	2001	308.11
11	3	2001	314.17
12	3	2001	317.58
13	3	2001	315.69
14	3	2001	311.52
15	3	2001	306.02
16	3	2001	300.43
17	3	2001	295.50
18	3	2001	291.64
19	3	2001	288.50
20	3	2001	286.76
21	3	2001	300.62
22	3	2001	311.99
23	3	2001	313.98
24	3	2001	318.25
25	3	2001	317.77
26	3	2001	313.98
27	3	2001	308.96
28	3	2001	303.08
29	3	2001	297.59
30	3	2001	293.12
31	3	2001	290.34
