Day	Month	Year	Volume(hm3)
1	12	1961	129.50
2	12	1961	131.60
3	12	1961	135.60
4	12	1961	142.60
5	12	1961	149.80
6	12	1961	151.00
7	12	1961	150.50
8	12	1961	148.90
9	12	1961	146.70
10	12	1961	146.40
11	12	1961	147.50
12	12	1961	151.20
13	12	1961	154.20
14	12	1961	155.40
15	12	1961	157.10
16	12	1961	158.40
17	12	1961	160.10
18	12	1961	163.20
19	12	1961	161.60
20	12	1961	153.70
21	12	1961	149.40
22	12	1961	147.90
23	12	1961	148.40
24	12	1961	150.50
25	12	1961	154.60
26	12	1961	159.20
27	12	1961	161.00
28	12	1961	162.60
29	12	1961	164.40
30	12	1961	167.30
31	12	1961	171.90
1	1	1962	180.10
2	1	1962	188.60
3	1	1962	196.00
4	1	1962	202.00
5	1	1962	207.50
6	1	1962	211.90
7	1	1962	214.80
8	1	1962	220.50
9	1	1962	223.30
10	1	1962	226.30
11	1	1962	231.10
12	1	1962	238.60
13	1	1962	242.60
14	1	1962	251.50
15	1	1962	260.80
16	1	1962	266.70
17	1	1962	269.00
18	1	1962	266.20
19	1	1962	267.30
20	1	1962	266.60
21	1	1962	267.70
22	1	1962	267.90
23	1	1962	266.50
24	1	1962	265.40
25	1	1962	264.70
26	1	1962	263.80
27	1	1962	263.20
28	1	1962	261.00
29	1	1962	263.70
30	1	1962	264.40
31	1	1962	264.50
1	2	1962	266.80
2	2	1962	267.30
3	2	1962	268.50
4	2	1962	269.40
5	2	1962	270.10
6	2	1962	272.30
7	2	1962	272.50
8	2	1962	272.70
9	2	1962	272.70
10	2	1962	273.20
11	2	1962	274.00
12	2	1962	274.10
13	2	1962	274.20
14	2	1962	275.10
15	2	1962	275.60
16	2	1962	276.80
17	2	1962	277.30
18	2	1962	278.20
19	2	1962	278.40
20	2	1962	278.60
21	2	1962	278.90
22	2	1962	279.20
23	2	1962	279.70
24	2	1962	279.70
25	2	1962	279.70
26	2	1962	280.90
27	2	1962	280.60
28	2	1962	282.60
1	3	1962	284.30
2	3	1962	290.10
3	3	1962	291.70
4	3	1962	291.90
5	3	1962	292.60
6	3	1962	293.20
7	3	1962	293.00
8	3	1962	294.30
9	3	1962	295.10
10	3	1962	306.00
11	3	1962	305.70
12	3	1962	306.40
13	3	1962	308.30
14	3	1962	306.40
15	3	1962	306.40
16	3	1962	305.90
17	3	1962	305.50
18	3	1962	305.30
19	3	1962	305.10
20	3	1962	305.10
21	3	1962	306.10
22	3	1962	305.10
23	3	1962	305.00
24	3	1962	304.70
25	3	1962	304.60
26	3	1962	304.30
27	3	1962	304.20
28	3	1962	305.70
29	3	1962	305.90
30	3	1962	308.20
31	3	1962	309.00
1	4	1962	312.10
2	4	1962	313.40
3	4	1962	314.30
4	4	1962	315.50
5	4	1962	317.20
6	4	1962	322.30
7	4	1962	322.80
8	4	1962	327.00
9	4	1962	327.10
10	4	1962	327.20
11	4	1962	327.20
12	4	1962	327.20
13	4	1962	327.20
14	4	1962	327.20
15	4	1962	327.20
16	4	1962	327.20
17	4	1962	327.20
18	4	1962	327.20
19	4	1962	327.20
20	4	1962	327.20
21	4	1962	327.80
22	4	1962	329.30
23	4	1962	331.20
24	4	1962	331.50
25	4	1962	332.40
26	4	1962	333.20
27	4	1962	334.10
28	4	1962	334.10
29	4	1962	334.10
30	4	1962	334.10
